Population size:	Max generations:	Selection:	Recombination:	Recombination prob.:	Mutation:	Mutation prob.:	Agents:	Picks:	Columns:	TW:	CW:	Heuristic:		Fitness(AVG):	Time(AVG):	Fitness StdDev:	Time StdDev	Collisions (AVG)	Collisions StdDev	stdDevPicksPerAgent (AVG)
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	6	12	1	0	GA		530.88	530.88	117.3147288	117.3147288	0.22	0.672011905	1.06905026
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	6	12	1	0	GAxN		590.87	590.87	123.808534	123.808534	0.26	1.05470375	0.723321725
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	6	12	1	0	K-Means		647.01	647.01	157.4211863	157.4211863	0.43	1.210413153	0.723321725
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	6	12	1	0	Hybrid		590.87	590.87	123.808534	123.808534	0.31	1.27039364	0.723321725
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	6	12	1	0	GA		507	507	111.004054	111.004054	0.23	0.507050293	1.053820437
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	6	12	1	0	GAxN		574.27	574.27	127.4438586	127.4438586	0.54	1.465742133	0.591506351
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	6	12	1	0	K-Means		603.5	603.5	140.1169868	140.1169868	0.61	1.434538253	0.591506351
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	6	12	1	0	Hybrid		574.27	574.27	127.4438586	127.4438586	0.6	1.476482306	0.591506351
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	6	12	1	0	GA		496.69	496.69	105.4626659	105.4626659	0.48	1.44554488	1.025193396
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	6	12	1	0	GAxN		549.31	549.31	111.9783635	111.9783635	0.54	0.973858306	0.4
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	6	12	1	0	K-Means		552.65	552.65	113.0957448	113.0957448	0.8	1.216552506	0.4
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	6	12	1	0	Hybrid		549.31	549.31	111.9783635	111.9783635	0.84	1.309350984	0.4
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	7	12	1	0	GA		781.74	781.74	157.4354865	157.4354865	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	7	12	1	0	GAxN		781.74	781.74	157.4354865	157.4354865	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	7	12	1	0	K-Means		1255.22	1255.22	340.9952369	340.9952369	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	7	12	1	0	Hybrid		894.24	894.24	196.8544193	196.8544193	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	7	12	1	0	GA		598.05	598.05	121.048038	121.048038	0.15	1.013656747	1.08
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	7	12	1	0	GAxN		652.94	652.94	125.5700458	125.5700458	0.06	0.237486842	1.22
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	7	12	1	0	K-Means		836.07	836.07	212.7880756	212.7880756	0.17	0.375632799	1.22
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	7	12	1	0	Hybrid		669.15	669.15	128.0164345	128.0164345	0.07	0.255147016	1.22
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	7	12	1	0	GA		550.72	550.72	109.8705675	109.8705675	0.22	0.625779514	1.214995441
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	7	12	1	0	GAxN		606.29	606.29	130.7699732	130.7699732	0.23	0.526402888	0.992488242
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	7	12	1	0	K-Means		696.19	696.19	198.2005901	198.2005901	0.42	0.650845604	0.992488242
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	7	12	1	0	Hybrid		607.67	607.67	131.8990565	131.8990565	0.28	0.549181209	0.992488242
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	7	12	1	0	GA		531.87	531.87	109.3123648	109.3123648	0.26	0.558927544	1.193235835
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	7	12	1	0	GAxN		579.86	579.86	120.4800415	120.4800415	0.43	0.908350153	0.735282013
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	7	12	1	0	K-Means		616.24	616.24	132.010539	132.010539	0.7	1.044030651	0.735282013
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	7	12	1	0	Hybrid		579.86	579.86	120.4800415	120.4800415	0.54	1.004191217	0.735282013
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	7	12	1	0	GA		518.43	518.43	100.0447155	100.0447155	0.66	1.524598308	1.118994957
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	7	12	1	0	GAxN		567.04	567.04	116.9516926	116.9516926	0.6	1.122497216	0.56122142
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	7	12	1	0	K-Means		581.14	581.14	120.4249991	120.4249991	0.99	1.396388198	0.56122142
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	7	12	1	0	Hybrid		567.04	567.04	116.9516926	116.9516926	0.89	1.271966981	0.56122142
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	8	12	1	0	GA		828.41	828.41	153.2795547	153.2795547	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	8	12	1	0	GAxN		828.41	828.41	153.2795547	153.2795547	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	8	12	1	0	K-Means		1395.96	1395.96	356.4693513	356.4693513	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	8	12	1	0	Hybrid		1000.95	1000.95	203.8196445	203.8196445	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	8	12	1	0	GA		630.84	630.84	128.6484916	128.6484916	0.25	0.931396801	1.01
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	8	12	1	0	GAxN		682.62	682.62	130.3548066	130.3548066	0.09	0.402367991	1.34
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	8	12	1	0	K-Means		922.63	922.63	266.5969488	266.5969488	0.16	0.41761226	1.34
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	8	12	1	0	Hybrid		709.87	709.87	147.568537	147.568537	0.12	0.636867333	1.34
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	8	12	1	0	GA		575.56	575.56	109.6255737	109.6255737	0.53	1.388920444	1.324680778
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	8	12	1	0	GAxN		613.55	613.55	125.8783838	125.8783838	0.21	0.495883051	1.181785995
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	8	12	1	0	K-Means		740.6	740.6	181.0823017	181.0823017	0.32	0.563560112	1.181785995
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	8	12	1	0	Hybrid		617.84	617.84	125.1438948	125.1438948	0.25	0.517204022	1.181785995
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	8	12	1	0	GA		544.92	544.92	100.1942793	100.1942793	0.63	1.665262742	1.1629785
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	8	12	1	0	GAxN		603.95	603.95	117.3828246	117.3828246	0.43	0.815536633	0.864198022
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	8	12	1	0	K-Means		672.49	672.49	152.6415078	152.6415078	0.58	0.885211839	0.864198022
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	8	12	1	0	Hybrid		605.85	605.85	116.5487344	116.5487344	0.49	0.754917214	0.864198022
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	8	12	1	0	GA		534.65	534.65	92.96756155	92.96756155	0.6	1.568438714	1.197097633
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	8	12	1	0	GAxN		581.07	581.07	113.8863692	113.8863692	0.53	1.004539696	0.721262241
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	8	12	1	0	K-Means		609.8	609.8	121.4935389	121.4935389	0.8	1.086278049	0.721262241
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	8	12	1	0	Hybrid		581.07	581.07	113.8863692	113.8863692	0.84	1.146472852	0.721262241
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	9	12	1	0	GA		866.47	866.47	159.3284943	159.3284943	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	9	12	1	0	GAxN		866.47	866.47	159.3284943	159.3284943	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	9	12	1	0	K-Means		1535.34	1535.34	367.1476602	367.1476602	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	9	12	1	0	Hybrid		1141.99	1141.99	230.5047286	230.5047286	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	9	12	1	0	GA		652.23	652.23	122.0221992	122.0221992	0.19	0.61147363	1.31
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	9	12	1	0	GAxN		690.2	690.2	127.0105507	127.0105507	0.07	0.291719043	1.54
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	9	12	1	0	K-Means		989.11	989.11	250.1089721	250.1089721	0.21	0.495883051	1.54
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	9	12	1	0	Hybrid		742.11	742.11	145.9404601	145.9404601	0.09	0.376696164	1.54
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	9	12	1	0	GA		597.4	597.4	104.9625648	104.9625648	0.36	0.656048779	1.246002589
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	9	12	1	0	GAxN		640.03	640.03	120.8324009	120.8324009	0.23	0.597578447	1.315088492
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	9	12	1	0	K-Means		786.81	786.81	177.0791741	177.0791741	0.36	0.714422844	1.315088492
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	9	12	1	0	Hybrid		650.39	650.39	122.3548033	122.3548033	0.2	0.489897949	1.315088492
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	9	12	1	0	GA		565.66	565.66	97.50315072	97.50315072	0.84	1.770423678	1.25001561
